forcing,region,lag,n,r_raw,p_raw,r_partial,p_partial
Noatak (SWOT),Selawik Lake,1,32,-0.051149381628111515,0.7810010873894881,0.07140773622325937,0.7026608496596107
Noatak (SWOT),Selawik Lake,2,29,-0.1555757936902967,0.42031594860650606,0.0711923689253638,0.7188496173007648
Noatak (SWOT),Hotham Inlet,1,32,-0.2167740623667153,0.23337664580056883,-0.19318942340669576,0.29774520184492803
Noatak (SWOT),Hotham Inlet,2,29,-0.05650938510134591,0.7709296257994273,-0.01487248598707559,0.9401242059673667
Noatak (SWOT),Inner sound,1,33,0.24754533904857928,0.16485221878720469,-0.04020697568358622,0.8270519922178865
Noatak (SWOT),Inner sound,2,30,0.29712731662066083,0.11081707575813253,0.0383773560020398,0.8433188061366985
Noatak (SWOT),Outer sound,1,33,0.23351184546476075,0.19091802007682268,0.11597500264235286,0.5273277024431895
Noatak (SWOT),Outer sound,2,30,0.06320340564014097,0.7400390937751585,-0.17787833486765062,0.3559237039345964
Noatak (SWOT),Eschscholtz Bay,1,32,0.1945673458945511,0.2859317904570193,0.05530176168943217,0.7676271542403548
Noatak (SWOT),Eschscholtz Bay,2,29,0.09829399274886697,0.6119605348693763,-0.030704365461651714,0.8767416782809323
Kobuk (SWOT),Selawik Lake,1,33,-0.01847834455505578,0.9187046194882713,0.13113979389088437,0.47434788608022505
Kobuk (SWOT),Selawik Lake,2,30,0.026695657214032168,0.8886364475773298,0.17757283068434782,0.35676389848756385
Kobuk (SWOT),Hotham Inlet,1,33,-0.2025046817114839,0.2583901361952154,-0.17602289113094188,0.3352103540849538
Kobuk (SWOT),Hotham Inlet,2,30,0.013836809970602146,0.9421480456750159,0.04432974197488158,0.8193864390288765
Kobuk (SWOT),Inner sound,1,34,0.24912793182232124,0.15536528544393413,-0.03718680402844576,0.837215966282733
Kobuk (SWOT),Inner sound,2,31,0.27932958149461684,0.12805793159521586,0.06619001484373332,0.7282049799093362
Kobuk (SWOT),Outer sound,1,34,0.20831058194619292,0.23711062507042222,-0.03470122365058132,0.8479658226506113
Kobuk (SWOT),Outer sound,2,31,0.1155614642537876,0.5358782847007039,-0.10158669385988639,0.5932339082393563
Kobuk (SWOT),Eschscholtz Bay,1,33,0.1588152663627964,0.37736161651038985,-0.007504541764032718,0.9674843615403326
Kobuk (SWOT),Eschscholtz Bay,2,30,-0.04676760758142102,0.8061418227681932,-0.2797339578411696,0.14164979597963168
Selawik (SWOT),Selawik Lake,1,38,-0.2743744029357266,0.09550997620745001,-0.20629570478628645,0.22057246197070457
Selawik (SWOT),Selawik Lake,2,39,-0.2308157903867003,0.15744460764350926,0.06124185211094681,0.7149231638854585
Selawik (SWOT),Hotham Inlet,1,38,-0.24937730707713057,0.13107366345702245,-0.2352596837488304,0.16101227118621164
Selawik (SWOT),Hotham Inlet,2,39,-0.23632593559046772,0.1474923821396501,-0.23227837355329198,0.1605253753677811
Selawik (SWOT),Inner sound,1,39,0.20363959670381843,0.21370898227279436,-0.08782805285037344,0.6000436273181391
Selawik (SWOT),Inner sound,2,40,0.08332898761118757,0.6092126972275714,-0.0997798560626447,0.5456025578312254
Selawik (SWOT),Outer sound,1,39,0.48573355797655776,0.0017203664150280155,-0.07853779083403384,0.6392899216545154
Selawik (SWOT),Outer sound,2,40,0.4031012077327088,0.009907217216203783,-0.009474652967315055,0.9543497886992727
Selawik (SWOT),Eschscholtz Bay,1,38,-0.0031916113337162556,0.9848273759867476,-0.25665599960143315,0.12517507861576016
Selawik (SWOT),Eschscholtz Bay,2,39,-0.15048586827135385,0.3604909402288452,-0.30883484280580303,0.05921407709258708
Buckland (SWOT),Selawik Lake,1,39,-0.2121959842994467,0.19467390076235555,-0.32570512126500467,0.04598880223344248
Buckland (SWOT),Selawik Lake,2,37,-0.27443958531702767,0.10021990105273368,-0.19288133999199236,0.2597134661558693
Buckland (SWOT),Hotham Inlet,1,39,-0.38152947897035905,0.01654931261807962,-0.37621572871121295,0.019915630309690124
Buckland (SWOT),Hotham Inlet,2,37,-0.4128635745339547,0.011098518474771574,-0.411023398954044,0.012764857809947294
Buckland (SWOT),Inner sound,1,40,0.043354704939788796,0.7905247761035172,-0.17004426080765625,0.30069829342859866
Buckland (SWOT),Inner sound,2,38,0.003127119109775061,0.9851339317051558,-0.2969553039198133,0.07429111326084503
Buckland (SWOT),Outer sound,1,40,0.3870723362247198,0.013607398936825325,0.040802535257537645,0.8051992705919391
Buckland (SWOT),Outer sound,2,38,0.48045639839594345,0.0022655328156745993,-0.25733963286431677,0.12413742580990084
Buckland (SWOT),Eschscholtz Bay,1,39,0.04822797186161455,0.7706275741436815,-0.17162235550581637,0.3028787887543487
Buckland (SWOT),Eschscholtz Bay,2,37,-0.25009888486954296,0.13545844446739302,-0.46155580486917697,0.004603743893696999
Squirrel (SWOT),Selawik Lake,1,28,-0.053517485153349885,0.7867983362595652,-0.02603295832985422,0.8974431940948506
Squirrel (SWOT),Selawik Lake,2,25,-0.16969596537812343,0.41739575306615667,0.06800821530325095,0.7521917342307689
Squirrel (SWOT),Hotham Inlet,1,28,-0.2813329432832909,0.14697970701762128,-0.25123452682558767,0.20620399253821953
Squirrel (SWOT),Hotham Inlet,2,25,-0.09135687890205259,0.6640641184493428,-0.03559342193520954,0.8688536937058453
Squirrel (SWOT),Inner sound,1,29,0.37170381500675825,0.04709741472518987,0.0015512522062836882,0.9937492794036888
Squirrel (SWOT),Inner sound,2,26,0.22806208527332833,0.26248063363901636,-0.05261186875700171,0.8027695544480069
Squirrel (SWOT),Outer sound,1,29,0.6508299474407895,0.00013189461808700217,0.4034739069277198,0.03324594418903848
Squirrel (SWOT),Outer sound,2,26,0.36030144314665563,0.07058932942955719,0.06678260456015525,0.751112956846824
Squirrel (SWOT),Eschscholtz Bay,1,28,0.30359998832438795,0.11627824692346862,0.004345560432493555,0.982837417664443
Squirrel (SWOT),Eschscholtz Bay,2,25,0.28111551708845683,0.17343308726868115,0.07542752424171797,0.7261201242466451
Wulik (SWOT),Selawik Lake,1,32,0.0612844220647268,0.7389851424361392,-0.03447928706227535,0.8539051321497737
Wulik (SWOT),Selawik Lake,2,29,-0.2534491943521311,0.18463728042422808,0.07525023708906489,0.7035201389426882
Wulik (SWOT),Hotham Inlet,1,32,-0.24107856242408932,0.1837846955037692,-0.2274771064676807,0.21843356341468612
Wulik (SWOT),Hotham Inlet,2,29,-0.29166124334787763,0.12474623664301249,-0.22952889373415722,0.24001615088469253
Wulik (SWOT),Inner sound,1,33,0.023072439511795766,0.8985863990925265,-0.18047456266696385,0.32293350451746305
Wulik (SWOT),Inner sound,2,30,0.1146928814070615,0.5461743879188284,-0.1148135749073083,0.5531411391015943
Wulik (SWOT),Outer sound,1,33,0.2532222387810008,0.15506772598905783,0.30522260051403927,0.0893734692604411
Wulik (SWOT),Outer sound,2,30,0.1564269923661985,0.409099438478026,-0.05611117290286606,0.772501707964945
Wulik (SWOT),Eschscholtz Bay,1,32,0.15638600822985071,0.3926989883681463,0.01809739001358332,0.9230210342408611
Wulik (SWOT),Eschscholtz Bay,2,29,0.0030054824444859934,0.9876547620188713,0.029496671732561625,0.8815554339135856
Kobuk (gauge Q),Selawik Lake,1,170,-0.24182455581065426,0.0014879025984927228,-0.10478786197276627,0.17514122105232177
Kobuk (gauge Q),Selawik Lake,2,169,-0.20220976416333908,0.008376364866786196,-0.04487616824825105,0.5635274528399823
Kobuk (gauge Q),Hotham Inlet,1,173,-0.265965395751146,0.00040502667552628146,-0.2508109891591569,0.0009047746809216495
Kobuk (gauge Q),Hotham Inlet,2,172,-0.1316736393832178,0.08510643607736995,-0.10730247193367624,0.1624416361484209
Kobuk (gauge Q),Inner sound,1,202,0.33384761301024707,1.2011365949596866e-06,0.23661783545787068,0.0007199476740196165
Kobuk (gauge Q),Inner sound,2,201,0.32432320935415276,2.640316274747875e-06,0.28392556664819935,4.6150765859120924e-05
Kobuk (gauge Q),Outer sound,1,206,0.15177774059191834,0.029421121361628097,-0.0005376336255148586,0.9938957058205378
Kobuk (gauge Q),Outer sound,2,204,-0.03700177213080006,0.5992888014028206,-0.08819903504969014,0.2108166838809491
Kobuk (gauge Q),Eschscholtz Bay,1,168,0.007538133360964609,0.9227444408066511,-0.015967043237771785,0.8377261023711338
Kobuk (gauge Q),Eschscholtz Bay,2,168,-0.05903529269469414,0.4471737684103643,-0.04148981514197358,0.5944706010421841
