region,year,chl
Hotham Inlet,2012,20.7691650390625
Hotham Inlet,2013,20.319211959838867
Hotham Inlet,2014,20.795934677124023
Hotham Inlet,2015,21.003658294677734
Hotham Inlet,2016,28.474288940429688
Hotham Inlet,2017,21.060468673706055
Hotham Inlet,2018,19.537782669067383
Hotham Inlet,2019,38.183773040771484
Hotham Inlet,2020,16.528987884521484
Hotham Inlet,2021,10.12198257446289
Hotham Inlet,2022,7.9765424728393555
Hotham Inlet,2023,4.876630783081055
Hotham Inlet,2024,12.46589183807373
Hotham Inlet,2025,21.980751037597656
Hotham Inlet,2026,15.006248474121094
Inner sound,2012,5.83082914352417
Inner sound,2013,3.7274222373962402
Inner sound,2014,6.374587059020996
Inner sound,2015,4.586846828460693
Inner sound,2016,3.6782419681549072
Inner sound,2017,4.58561372756958
Inner sound,2018,5.60745096206665
Inner sound,2019,8.506702423095703
Inner sound,2020,3.1738808155059814
Inner sound,2021,5.781125068664551
Inner sound,2022,5.527034759521484
Inner sound,2023,6.0059404373168945
Inner sound,2024,6.276339530944824
Inner sound,2025,6.298822402954102
Inner sound,2026,5.636833190917969
Outer sound,2012,1.881853699684143
Outer sound,2013,1.852929711341858
Outer sound,2014,1.7541040182113647
Outer sound,2015,1.9823691844940186
Outer sound,2016,1.4593323469161987
Outer sound,2017,1.405353307723999
Outer sound,2018,2.34401273727417
Outer sound,2019,2.358685255050659
Outer sound,2020,1.305098295211792
Outer sound,2021,2.390390634536743
Outer sound,2022,2.2477495670318604
Outer sound,2023,1.3607996702194214
Outer sound,2024,1.5188888311386108
Outer sound,2025,2.1185455322265625
Outer sound,2026,1.2831741571426392
