region,lag,n,r_raw,p_raw,r_sed,p_sed,r_both,p_both,r_q_cdom,r_chl_cdom
Hotham Inlet,0,174,-0.2820466578348364,0.00016293672369425914,-0.29050264036015744,0.00010565799283024369,-0.2943197437005449,8.89234254093374e-05,-0.12068950305554572,-0.038457785
Hotham Inlet,1,173,-0.265965395751146,0.00040502667552628146,-0.25081099130664747,0.0009047745858095091,-0.25337303176987663,0.0008266514052952534,-0.09287885493078281,-0.03795554
Hotham Inlet,2,172,-0.1316736393832178,0.08510643607736995,-0.1073024727407671,0.16244163297002023,-0.10822876620747032,0.1600660934558864,-0.05045783933437205,-0.03799117
Hotham Inlet,3,172,-0.010617582964761122,0.8900532635920904,0.02327686944310128,0.7625049676586011,0.022867453886764845,0.7672346148971416,-0.02470223293115357,-0.03799117
Inner sound,0,203,0.3158012920698691,4.4390129265150975e-06,0.18407227101639184,0.00873207726094205,0.19732212646969774,0.004989118259020264,-0.10987886002516889,0.08512438
Inner sound,1,202,0.33384761301024707,1.2011365949596866e-06,0.23661784462345523,0.0007199473206198626,0.24671252088339823,0.00042867750852870756,-0.08539940732966647,0.08530063
Inner sound,2,201,0.32432320935415276,2.640316274747875e-06,0.28392557065569196,4.6150753963081215e-05,0.2897097103794289,3.317891117493588e-05,-0.05028527078326205,0.08553723
Inner sound,3,199,0.22857004735999714,0.0011656306969591924,0.25569416697308345,0.00027713846902854833,0.2587712781047821,0.00024098708971220795,-0.029171185209437966,0.0860221
Outer sound,0,207,0.24047819291162442,0.0004825013441427069,0.112575824212452,0.10716651692666268,0.10844639189312362,0.12167289084329158,-0.11588367603022288,-0.057367597
Outer sound,1,206,0.15177774059191834,0.029421121361628097,-0.0005376445657124477,0.9938955816078994,-0.004151875159733469,0.9530026845451522,-0.08653211801593191,-0.057913214
Outer sound,2,204,-0.03700177213080006,0.5992888014028206,-0.08819901455303633,0.21081679034798673,-0.09044152017019144,0.20052282309970426,-0.04681762736109146,-0.058699764
Outer sound,3,202,-0.20485853521142838,0.0034489985411562674,-0.10962826747901427,0.12132677756128474,-0.11113588487455106,0.11718377692626336,-0.02158154050273287,-0.05892383
