region,lag_weeks,r,p,n
Hotham Inlet,0,-0.27562842731340864,0.00019622443444010997,178
Hotham Inlet,1,-0.3108650591757574,2.538987879362879e-05,177
Hotham Inlet,2,-0.2662163321958232,0.00035526994878661667,176
Hotham Inlet,3,-0.2504594360667803,0.0008288773464096921,175
Hotham Inlet,4,-0.2530433976539539,0.0007549349148684453,174
Hotham Inlet,5,-0.19040323923684213,0.012100280222421112,173
Hotham Inlet,6,-0.18045190679700698,0.017844573716407797,172
Inner sound,0,0.30787485803185394,4.445007313555364e-06,214
Inner sound,1,0.3036655330123851,6.397879451761414e-06,213
Inner sound,2,0.31632110205599345,2.605280088161476e-06,212
Inner sound,3,0.24540785745812937,0.0003197273843079671,211
Inner sound,4,0.2244640209688375,0.0010555993159347629,210
Inner sound,5,0.2338344394908932,0.0006553781649881119,209
Inner sound,6,0.18216361914066523,0.008452484100539738,208
Outer sound,0,0.24233008326612956,0.00031459102078085997,217
Outer sound,1,0.16562555855251362,0.014813005754494658,216
Outer sound,2,0.08549309944232263,0.211828128063707,215
Outer sound,3,0.04140464083519378,0.5469021958992497,214
Outer sound,4,-0.03327070440203412,0.6292048430853534,213
Outer sound,5,-0.06827120044885467,0.32250590331186485,212
Outer sound,6,-0.08440867433182708,0.2220846846614507,211
