region,lag_weeks,r,p,n
Hotham Inlet,0,-0.3889668883349725,0.01090107111120114,42
Hotham Inlet,1,-0.35012036546247916,0.024826473663444634,41
Hotham Inlet,2,-0.28876508396005296,0.07074466404513823,40
Hotham Inlet,3,-0.10600974718358225,0.5206751656789896,39
Hotham Inlet,4,0.03857944551479665,0.8181222500589186,38
Hotham Inlet,5,-0.03160490807663664,0.8526854853925416,37
Hotham Inlet,6,0.08717130951220667,0.6131842381649715,36
Inner sound,0,0.1394475810392878,0.355341581399648,46
Inner sound,1,0.26386715840274083,0.07986779301407597,45
Inner sound,2,0.3514033586675011,0.01933623320007279,44
Inner sound,3,0.25704753528249275,0.09611321005164944,43
Inner sound,4,0.38148759747439404,0.01267457308253692,42
Inner sound,5,0.3813741962459868,0.01388417491876341,41
Inner sound,6,0.29653706894828247,0.06316463087930867,40
Outer sound,0,0.28789078068168295,0.05236402982290586,46
Outer sound,1,0.24846338223921763,0.09981262558281256,45
Outer sound,2,0.313199836449753,0.03844041017224349,44
Outer sound,3,0.3581779863476528,0.018355846321392456,43
Outer sound,4,0.34254330691027035,0.026378111953405052,42
Outer sound,5,0.14104946938176605,0.37905648457493973,41
Outer sound,6,-0.06866194131774252,0.673767169148967,40
