main_path_id,facc_max,n,len_km,name,selected,dom_type,reason
7000142,62100.7895,60,694.9072101609084,Noatak River,Noatak,1,carried
7000490,31314.5319,48,517.1019867454409,NODATA,Kobuk,1,carried
7001633,11616.04296875,16,166.59263054900552,Selawik River,Selawik,1,carried
7000383,8261.955,6,57.54990862115751,NODATA,,5,"delta/inlet channel, type 5"
7001381,7974.8384,6,65.17612385287555,NODATA,HothamInletChannel,5,carried
7000958,7299.83935546875,15,128.0579441204452,NODATA,Buckland,1,carried
7002175,4711.8379,8,106.93867278288621,Squirrel River,Squirrel,1,carried
7002272,3502.35595703125,4,39.92603049399433,Selawik River,,1,small basin
7000409,2863.45166015625,6,81.95005535658777,NODATA,,1,small basin
7002072,2795.9858378480503,4,60.93994725065496,Oligavik Creek,,1,small basin
7000408,2422.330322265625,4,36.04109967459196,Kugururok River,,1,small basin
7001919,2416.692138671875,6,64.05110811731831,Aniuk River,,1,small basin
7000081,2305.15673828125,9,88.61560350053178,Wulik River,Wulik,1,carried
7000601,2172.216552734375,9,103.61083113175872,Ambler River,,1,small basin
7003057,2059.7158203125,5,54.53613633099525,NODATA,,1,small basin
7002437,2059.27294921875,3,28.705294447613362,Anisak River,,1,small basin
7001850,1979.6190983072916,7,98.23855725110221,Kukpuk River,,1,small basin
7001454,1820.6168,7,52.81911764960391,NODATA,,1,small basin
7001859,1726.4560546875,7,74.15844983656982,Salmon River,,1,small basin
7002304,1563.5074462890625,5,43.57149868736189,Mauneluk River,,1,small basin
7000445,1528.5238710862359,8,93.43303932964756,NODATA,,1,small basin
7002831,1416.2513152362556,1,0.19730473834367726,Killik River,,6,small basin
7001382,1314.787353515625,5,46.066846459219015,Eli River,,1,small basin
7003016,1091.143310546875,4,36.61788003645074,NODATA,,1,small basin
7001232,999.7823,8,90.2326273183332,Kogoluktuk River,,1,small basin
7002101,960.6008911132812,5,52.61945773018409,Reed River,,1,small basin
7001453,912.9544067382812,6,61.77872432755845,Tutuksuk River,,1,small basin
7003008,840.012939453125,2,7.195488593350639,Akillik River,,1,small basin
7003017,782.9713134765625,5,51.8267132752938,Squirrel River,,1,small basin
7001920,695.85107421875,5,37.92566142455091,NODATA,,1,small basin
7002630,685.7108764648438,2,17.387979009656984,Aniuk River,,1,small basin
7000520,632.343965134183,2,17.714551765147892,Ipnavik River,,1,small basin
7002700,272.70661846240915,2,19.0148159299051,NODATA,,1,small basin
7003121,28.104860305786133,2,13.099164549878205,NODATA,,5,"delta/inlet channel, type 5"
