yr,doy_max,v_spring,v_late,late_wins,n
1977,162,1415.8423296,886.3172983296,False,184
1978,159,1330.891789824,1240.2778807296,False,184
1979,163,2624.9716790784,1857.5851364352,False,184
1980,159,2548.51619328,1812.278181888,False,184
1981,214,1642.377102336,2143.5852870144,True,184
1982,157,4247.5269888,2548.51619328,False,184
1983,155,2268.1794120192,2018.9911620096,False,184
1984,218,1699.01079552,2271.0110966784,True,184
1985,156,3681.19005696,3086.536278528,False,184
1986,250,1710.3375341568,3907.724829696,True,184
1987,150,1274.25809664,954.2777301504,False,184
1988,135,2265.34772736,1959.5257841664,False,184
1989,154,3964.3585228800002,2483.3874461184,False,184
1990,142,3681.19005696,1829.2682898432001,False,184
1991,142,3398.02159104,1008.0797386752,False,184
1992,157,4389.11122176,1226.1194574336,False,184
1993,142,3907.724829696,2203.0506648576,False,184
1994,143,3794.457443328,3652.873210368,False,184
1995,133,3114.85312512,495.54481536000003,False,184
1996,141,3851.091136512,1650.8721563136,False,184
1997,133,1868.9118750720002,1449.8225455104,False,184
1998,234,2327.6447898624,2831.6846592,True,184
1999,144,1982.1792614400001,1146.832286976,False,184
2000,157,3596.2395171840003,1982.1792614400001,False,184
2001,160,3681.19005696,2273.8427813376,False,184
2002,142,3879.4079831040003,1322.3967358464001,False,184
2008,138,3681.19005696,699.4261108224,False,184
2009,146,3426.338437632,1274.25809664,False,184
2010,139,3256.43735808,1002.4163693568,False,184
2011,146,4530.69545472,985.4262614016001,False,184
2015,138,3681.19005696,1251.6046193664001,False,184
2016,135,2406.93196032,1475.3077074432001,False,184
2017,140,2944.952045568,2647.625156352,False,184
2018,159,2814.6945512448,974.0995227648,False,184
2021,215,1730.1593267712,3454.6552842240003,True,184
2022,145,3171.4868183040003,2534.3577699840002,False,184
2023,250,2735.4073807872,2792.0410739712,True,184
2024,237,2248.3576194048,3313.0710512640003,True,184
2025,247,2426.7537529344,3624.556363776,True,184
