river,year,doy_max,v_spring,v_late,late_wins,n,censored
Kobuk,2023,,,,,24,True
Kobuk,2024,240.0,1.6536,2.4825,True,52,
Kobuk,2025,250.0,2.4716000000000005,2.997600000000001,True,51,
Kobuk,2026,,,,,49,True
Selawik,2023,145.0,2.8009,1.53535,False,67,
Selawik,2024,141.0,1.6785999999999999,1.6058000000000001,False,42,
Selawik,2025,145.0,2.2964,2.0302000000000002,False,42,
Selawik,2026,,,,,35,True
Noatak,2023,,,,,18,True
Noatak,2024,237.0,1.3960000000000001,1.8563250000000004,True,45,
Noatak,2025,168.0,2.2464250000000003,1.3747500000000006,False,42,
Noatak,2026,,,,,37,True
