river,time,span_km,n_nodes,d_lo,d_hi,length_km
Kobuk,2023-05-23 03:49:49+00:00,230.71292825775322,15,287.0936029267173,349.85197637994827,62.758373453230945
Kobuk,2023-05-23 03:49:49+00:00,230.71292825775322,10,417.37223192994264,419.1748956168281,1.8026636868854666
Kobuk,2023-05-23 03:49:49+00:00,230.71292825775322,12,423.16355428835817,425.33530693929106,2.1717526509328877
Kobuk,2023-05-23 03:49:49+00:00,230.71292825775322,13,427.92267400738035,430.33180700785095,2.4091330004706037
Kobuk,2023-05-24 03:40:27+00:00,234.70046542854965,70,198.84303703225692,349.85197637994827,151.00893934769135
Kobuk,2023-05-24 03:40:27+00:00,234.70046542854965,13,416.98087397533345,419.3731802969657,2.3923063216322475
Kobuk,2023-05-24 03:40:27+00:00,234.70046542854965,15,419.7787648683642,422.5661432822455,2.7873784138812994
Kobuk,2023-05-24 03:40:27+00:00,234.70046542854965,13,429.7408050123888,432.13440275695007,2.393597744561248
Kobuk,2023-05-25 03:31:04+00:00,234.70046542854965,348,198.84303703225692,349.85197637994827,151.00893934769135
Kobuk,2023-05-25 03:31:04+00:00,234.70046542854965,10,417.1832147181543,418.99004120422,1.8068264860656882
Kobuk,2023-05-25 03:31:04+00:00,234.70046542854965,11,423.16355428835817,425.12339709004,1.9598428016818161
Kobuk,2023-05-26 03:21:42+00:00,234.70046542854965,235,198.84303703225692,263.4545618599404,64.61152482768347
Kobuk,2023-05-26 03:21:42+00:00,234.70046542854965,38,264.25019000775933,271.92210720285084,7.67191719509151
Kobuk,2023-05-26 03:21:42+00:00,234.70046542854965,37,272.92690009697594,349.85197637994827,76.92507628297233
Kobuk,2023-05-26 03:21:42+00:00,234.70046542854965,16,423.16355428835817,426.1194675104773,2.955913222119136
Kobuk,2023-05-26 03:21:42+00:00,234.70046542854965,11,430.12167294552853,432.13440275695007,2.0127298114215364
Kobuk,2023-05-27 03:12:20+00:00,234.305617523425,195,207.4049873660954,256.86995869843776,49.464971332342344
Kobuk,2023-05-27 03:12:20+00:00,234.305617523425,17,260.2648585041577,263.4545618599404,3.189703355782683
Kobuk,2023-05-27 03:12:20+00:00,234.305617523425,39,264.25019000775933,271.92210720285084,7.67191719509151
Kobuk,2023-05-27 03:12:20+00:00,234.305617523425,49,273.7356725684872,291.2578997961408,17.522227227653616
Kobuk,2023-05-27 03:12:20+00:00,234.305617523425,10,422.96850835605414,424.73233073875883,1.7638223827046886
Kobuk,2023-05-28 03:02:58+00:00,234.305617523425,116,208.19672874768284,233.24873445109722,25.05200570341438
Kobuk,2023-05-28 03:02:58+00:00,234.305617523425,30,233.65374760928853,239.85220713420705,6.198459524918519
Kobuk,2023-05-28 03:02:58+00:00,234.305617523425,25,240.45278512818228,257.86853624270384,17.415751114521555
Kobuk,2023-05-28 03:02:58+00:00,234.305617523425,15,260.2648585041577,263.4545618599404,3.189703355782683
Kobuk,2023-05-28 03:02:58+00:00,234.305617523425,18,264.25019000775933,267.67590537226175,3.425715364502423
Kobuk,2023-05-28 03:02:58+00:00,234.305617523425,20,268.0756571159043,271.92210720285084,3.846450086946561
Kobuk,2023-05-28 03:02:58+00:00,234.305617523425,32,272.92690009697594,349.85197637994827,76.92507628297233
Kobuk,2023-05-28 03:02:58+00:00,234.305617523425,12,416.98087397533345,419.1748956168281,2.1940216414946576
Kobuk,2023-05-28 03:02:58+00:00,234.305617523425,11,423.16355428835817,425.12339709004,1.9598428016818161
Kobuk,2023-05-28 03:02:58+00:00,234.305617523425,14,429.54364753136105,432.13440275695007,2.590755225589021
Kobuk,2023-05-29 02:53:35+00:00,234.305617523425,198,199.23788493738155,239.85220713420705,40.6143221968255
Kobuk,2023-05-29 02:53:35+00:00,234.305617523425,52,240.26094174262414,256.67859653251304,16.4176547898889
Kobuk,2023-05-29 02:53:35+00:00,234.305617523425,16,260.2648585041577,263.4545618599404,3.189703355782683
Kobuk,2023-05-29 02:53:35+00:00,234.305617523425,39,264.25019000775933,271.92210720285084,7.67191719509151
Kobuk,2023-05-29 02:53:35+00:00,234.305617523425,43,273.92468964227896,350.8674127931538,76.94272315087483
Kobuk,2023-05-30 02:44:13+00:00,234.5045327777855,50,199.03896968302107,210.16539229562545,11.126422612604387
Kobuk,2023-05-30 02:44:13+00:00,234.5045327777855,17,211.5895986288898,216.61040823415684,5.020809605267033
Kobuk,2023-05-30 02:44:13+00:00,234.5045327777855,21,218.62339663020902,222.64210067286064,4.0187040426516205
Kobuk,2023-05-30 02:44:13+00:00,234.5045327777855,18,223.04002765869345,230.4469956658639,7.406968007170462
Kobuk,2023-05-30 02:44:13+00:00,234.5045327777855,14,233.65374760928853,236.2425515573005,2.5888039480119573
Kobuk,2023-05-30 02:44:13+00:00,234.5045327777855,17,236.64471551502004,239.85220713420705,3.20749161918701
Kobuk,2023-05-30 02:44:13+00:00,234.5045327777855,30,240.45278512818228,251.2997210110545,10.846935882872202
Kobuk,2023-05-30 02:44:13+00:00,234.5045327777855,17,260.2648585041577,263.4545618599404,3.189703355782683
Kobuk,2023-05-30 02:44:13+00:00,234.5045327777855,39,264.25019000775933,271.92210720285084,7.67191719509151
Kobuk,2023-05-30 02:44:13+00:00,234.5045327777855,33,274.1363574351529,291.0691168663707,16.93275943121779
Kobuk,2023-05-30 02:44:13+00:00,234.5045327777855,11,423.57116892964746,425.53694014224726,1.9657712125998046
Kobuk,2023-05-31 02:34:51+00:00,234.29369307516313,20,199.03896968302107,203.21922450688075,4.180254823859684
Kobuk,2023-05-31 02:34:51+00:00,234.29369307516313,15,212.17830779949753,215.0017202880187,2.8234124885211713
Kobuk,2023-05-31 02:34:51+00:00,234.29369307516313,17,218.8124186537068,222.0383319165213,3.225913262814487
Kobuk,2023-05-31 02:34:51+00:00,234.29369307516313,30,223.04002765869345,228.85164669124748,5.8116190325540344
Kobuk,2023-05-31 02:34:51+00:00,234.29369307516313,14,236.64471551502004,239.25962901110975,2.614913496089713
Kobuk,2023-05-31 02:34:51+00:00,234.29369307516313,31,240.8479341294179,251.2997210110545,10.451786881636593
Kobuk,2023-05-31 02:34:51+00:00,234.29369307516313,16,252.90779057888233,256.67859653251304,3.7708059536307132
Kobuk,2023-05-31 02:34:51+00:00,234.29369307516313,12,260.2648585041577,262.4684452011734,2.2035866970156803
Kobuk,2023-05-31 02:34:51+00:00,234.29369307516313,51,276.5298670119431,291.4593762988458,14.929509286902714
Kobuk,2023-06-01 02:25:28+00:00,234.5045327777855,11,199.03896968302107,201.04071052785974,2.001740844838679
Kobuk,2023-06-01 02:25:28+00:00,234.5045327777855,15,223.04002765869345,225.8389628501662,2.798935191472765
Kobuk,2023-06-01 02:25:28+00:00,234.5045327777855,26,242.6638416477759,250.0908244953898,7.4269828476138855
Kobuk,2023-06-01 02:25:28+00:00,234.5045327777855,13,252.90779057888233,255.28641281174004,2.3786222328577082
Kobuk,2023-06-01 02:25:28+00:00,234.5045327777855,20,282.5111324812028,288.49408772650287,5.982955245300047
Kobuk,2023-06-12 00:42:25+00:00,234.29369307516313,14,245.66913300130784,248.48339129541915,2.814258294111312
Kobuk,2023-06-12 00:42:25+00:00,234.29369307516313,17,286.12610289956893,289.47929618222173,3.3531932826527964
Kobuk,2023-06-12 00:42:25+00:00,234.29369307516313,12,416.98087397533345,419.1748956168281,2.1940216414946576
Kobuk,2023-06-12 00:42:25+00:00,234.29369307516313,12,426.92809371372357,429.14136348083315,2.21326976710958
Kobuk,2023-06-12 00:42:25+00:00,234.29369307516313,14,429.54364753136105,432.13440275695007,2.590755225589021
Kobuk,2023-06-13 00:33:02+00:00,234.09477782080265,14,219.22374488047353,224.05304099044238,4.829296109968851
Kobuk,2023-06-13 00:33:02+00:00,234.09477782080265,27,240.8479341294179,250.0908244953898,9.242890365971903
Kobuk,2023-06-13 00:33:02+00:00,234.09477782080265,16,252.90779057888233,256.0766782108762,3.1688876319938686
Kobuk,2023-06-13 00:33:02+00:00,234.09477782080265,17,278.3159090272653,281.5246737669272,3.2087647396618877
Kobuk,2023-06-13 00:33:02+00:00,234.09477782080265,48,282.5111324812028,344.8742692297021,62.3631367484993
Kobuk,2023-06-14 00:23:40+00:00,234.48962572592728,11,199.23788493738155,201.42841626618386,2.190531328802308
Kobuk,2023-06-14 00:23:40+00:00,234.48962572592728,15,223.04002765869345,225.8389628501662,2.798935191472765
Kobuk,2023-06-14 00:23:40+00:00,234.48962572592728,14,236.64471551502004,239.25962901110975,2.614913496089713
Kobuk,2023-06-14 00:23:40+00:00,234.48962572592728,33,244.86966989409243,251.2997210110545,6.430051116962062
Kobuk,2023-06-14 00:23:40+00:00,234.48962572592728,17,252.90779057888233,256.67859653251304,3.7708059536307132
Kobuk,2023-06-14 00:23:40+00:00,234.48962572592728,11,260.2648585041577,262.4684452011734,2.2035866970156803
Kobuk,2023-06-14 00:23:40+00:00,234.48962572592728,66,276.5298670119431,344.0948628055675,67.5649957936244
Kobuk,2023-06-15 00:14:18+00:00,234.29369307516313,13,199.03896968302107,201.42841626618386,2.389446583162794
Kobuk,2023-06-15 00:14:18+00:00,234.29369307516313,10,202.22329718784465,204.0178112333447,1.7945140455000512
Kobuk,2023-06-15 00:14:18+00:00,234.29369307516313,34,219.01894036938657,227.26273862701177,8.243798257625201
Kobuk,2023-06-15 00:14:18+00:00,234.29369307516313,20,246.66868070373837,256.67859653251304,10.009915828774666
Kobuk,2023-06-15 00:14:18+00:00,234.29369307516313,14,259.6613639520799,263.4545618599404,3.793197907860474
Kobuk,2023-06-15 00:14:18+00:00,234.29369307516313,42,277.31884816057254,291.2578997961408,13.939051635568262
Kobuk,2023-06-16 00:04:56+00:00,234.48962572592728,10,223.04002765869345,225.64409113533193,2.604063476638487
Kobuk,2023-06-16 00:04:56+00:00,234.48962572592728,31,236.64471551502004,257.86853624270384,21.2238207276838
Kobuk,2023-06-16 00:04:56+00:00,234.48962572592728,10,280.9312939022115,288.2933641692357,7.362070267024194
Kobuk,2023-07-09 20:20:06+00:00,234.8944252450107,10,245.66913300130784,247.4852860660034,1.8161530646955555
Kobuk,2023-07-09 20:20:06+00:00,234.8944252450107,18,285.91058269903147,331.94593796439773,46.03535526536626
Kobuk,2023-08-27 20:33:09+00:00,303.7146070488225,17,252.90779057888233,256.0766782108762,3.1688876319938686
Kobuk,2023-08-27 20:33:09+00:00,303.7146070488225,11,302.1912691591807,304.20369121458566,2.0124220554049543
Kobuk,2023-08-27 20:33:09+00:00,303.7146070488225,35,307.77867571546943,314.53902790961854,6.760352194149107
Kobuk,2023-08-27 20:33:09+00:00,303.7146070488225,10,317.72527894708224,319.5368797478728,1.8116008007905293
Kobuk,2023-08-27 20:33:09+00:00,303.7146070488225,10,338.49933395593274,340.8982959726284,2.3989620166956342
Kobuk,2023-08-27 20:33:09+00:00,303.7146070488225,11,408.1623442600278,410.1769499686618,2.014605708634008
Kobuk,2023-08-27 20:33:09+00:00,303.7146070488225,10,410.59387101034014,412.3944552007584,1.800584190418249
Kobuk,2023-08-27 20:33:09+00:00,303.7146070488225,69,422.96850835605414,436.679932673881,13.711424317826868
Kobuk,2023-08-27 20:33:09+00:00,303.7146070488225,29,437.0864354401226,442.6262437293974,5.539808289274788
Kobuk,2023-08-27 20:33:09+00:00,303.7146070488225,34,443.0290547728822,449.5511584313364,6.522103658454171
Kobuk,2023-08-27 20:33:09+00:00,303.7146070488225,41,450.3601752511637,458.14241265264235,7.782237401478653
Kobuk,2023-08-27 20:33:09+00:00,303.7146070488225,65,458.91281181149714,471.8338940848519,12.921082273354784
Kobuk,2023-08-27 20:33:09+00:00,303.7146070488225,55,472.2226997865617,482.9944685282057,10.771768741643996
Kobuk,2023-08-27 20:33:09+00:00,303.7146070488225,11,483.789813873431,485.77798572061346,1.988171847182457
Kobuk,2023-08-27 20:33:09+00:00,303.7146070488225,40,486.16412712862916,494.20102924315273,8.03690211452357
Kobuk,2023-08-28 20:33:41+00:00,195.68251651956297,18,211.79052097760797,215.61036629856645,3.8198453209584784
Kobuk,2023-08-28 20:33:41+00:00,195.68251651956297,62,218.4303653601887,233.85030945821146,15.419944098022768
Kobuk,2023-08-28 20:33:41+00:00,195.68251651956297,10,234.25155743720248,236.2425515573005,1.9909941200980086
Kobuk,2023-08-28 20:33:41+00:00,195.68251651956297,60,236.64471551502004,256.86995869843776,20.225243183417717
Kobuk,2023-08-28 20:33:41+00:00,195.68251651956297,28,257.278499785452,263.4545618599404,6.176062074488357
Kobuk,2023-09-02 11:50:34+00:00,243.89778535445043,300,186.6482491257648,324.1399910003505,137.4917418745857
Kobuk,2023-09-03 11:51:12+00:00,161.23003752400115,19,87.38615853269184,92.8684678312137,5.482309298521869
Kobuk,2023-09-03 11:51:12+00:00,161.23003752400115,31,159.47597315197262,166.68244902816625,7.206475876193622
Kobuk,2023-09-03 11:51:12+00:00,161.23003752400115,46,192.47912578695016,201.42841626618386,8.949290479233696
Kobuk,2023-09-03 11:51:12+00:00,161.23003752400115,16,201.84223548056707,204.81306983256476,2.970834351997695
Kobuk,2023-09-03 11:51:12+00:00,161.23003752400115,10,205.2124307306903,207.0134839869899,1.8010532562996104
Kobuk,2023-09-03 11:51:12+00:00,161.23003752400115,29,211.98073125456608,217.61100504735367,5.630273792787591
Kobuk,2023-09-03 11:51:12+00:00,161.23003752400115,57,218.62339663020902,230.4469956658639,11.823599035654894
Kobuk,2023-09-03 11:51:12+00:00,161.23003752400115,16,236.2425515573005,239.25962901110975,3.0170774538092644
Kobuk,2023-09-03 11:51:12+00:00,161.23003752400115,17,240.45278512818228,243.66496533186375,3.21218020368147
Kobuk,2023-09-06 18:55:29+00:00,212.440178848634,24,321.3238582617414,327.32994091461865,6.0060826528772395
Kobuk,2023-09-06 18:55:29+00:00,212.440178848634,12,333.91616508802184,336.3080979875454,2.3919328995235674
Kobuk,2023-09-06 18:55:29+00:00,212.440178848634,24,337.12190659151526,345.6725050894539,8.550598497938665
Kobuk,2023-09-06 18:55:29+00:00,212.440178848634,20,346.279619445412,351.8547361414693,5.575116696057307
Kobuk,2023-09-06 18:55:29+00:00,212.440178848634,13,354.0527055100753,357.8494770105692,3.7967715004938896
Kobuk,2023-09-06 18:55:29+00:00,212.440178848634,307,396.96650005220613,482.9944685282057,86.02796847599956
Kobuk,2023-09-06 18:55:29+00:00,212.440178848634,74,483.789813873431,499.00088811778147,15.21107424435047
Kobuk,2023-09-06 18:55:29+00:00,212.440178848634,36,499.4004832835127,506.4358356491457,7.035352365633003
Kobuk,2023-09-06 18:55:29+00:00,212.440178848634,43,506.84245576303294,515.2747631215756,8.43230735854263
Kobuk,2023-09-06 18:55:29+00:00,212.440178848634,31,519.4953083988903,525.5053591452565,6.0100507463662325
Kobuk,2023-09-06 18:55:29+00:00,212.440178848634,22,528.1136782314804,532.3298171661945,4.216138934714081
Kobuk,2023-09-07 18:56:00+00:00,299.1848960723304,268,117.99831864582394,171.47038971436206,53.47207106853811
Kobuk,2023-09-07 18:56:00+00:00,299.1848960723304,14,173.061315607466,175.65782184827196,2.596506240805951
Kobuk,2023-09-07 18:56:00+00:00,299.1848960723304,83,186.6482491257648,256.86995869843776,70.22170957267295
Kobuk,2023-09-07 18:56:00+00:00,299.1848960723304,18,260.2648585041577,263.6463646785463,3.381506174388619
Kobuk,2023-09-07 18:56:00+00:00,299.1848960723304,39,264.25019000775933,271.92210720285084,7.67191719509151
