time,chl,n_valid,region
2012-01-02 12:00:00,,0,Hotham Inlet
2012-01-08 12:00:00,,0,Hotham Inlet
2012-01-15 12:00:00,,0,Hotham Inlet
2012-01-22 12:00:00,,0,Hotham Inlet
2012-01-29 12:00:00,,0,Hotham Inlet
2012-02-05 12:00:00,,0,Hotham Inlet
2012-02-12 12:00:00,,0,Hotham Inlet
2012-02-19 12:00:00,,0,Hotham Inlet
2012-02-26 12:00:00,,0,Hotham Inlet
2012-03-04 12:00:00,,0,Hotham Inlet
2012-03-11 12:00:00,,0,Hotham Inlet
2012-03-18 12:00:00,,0,Hotham Inlet
2012-03-26 12:00:00,,0,Hotham Inlet
2012-04-01 12:00:00,,0,Hotham Inlet
2012-04-08 12:00:00,,0,Hotham Inlet
2012-04-15 12:00:00,,0,Hotham Inlet
2012-04-22 12:00:00,,0,Hotham Inlet
2012-04-29 12:00:00,,0,Hotham Inlet
2012-05-06 12:00:00,,0,Hotham Inlet
2012-05-13 12:00:00,,0,Hotham Inlet
2012-05-20 12:00:00,,0,Hotham Inlet
2012-05-27 12:00:00,,0,Hotham Inlet
2012-06-03 12:00:00,,0,Hotham Inlet
2012-06-10 12:00:00,,0,Hotham Inlet
2012-06-17 12:00:00,,0,Hotham Inlet
2012-06-24 12:00:00,,0,Hotham Inlet
2012-07-01 12:00:00,3.1875787,24,Hotham Inlet
2012-07-08 12:00:00,27.917686,26,Hotham Inlet
2012-07-15 12:00:00,4.2561207,16,Hotham Inlet
2012-07-22 12:00:00,,0,Hotham Inlet
2012-07-29 12:00:00,20.210861,25,Hotham Inlet
2012-08-05 12:00:00,19.342812,46,Hotham Inlet
2012-08-12 12:00:00,38.41403,41,Hotham Inlet
2012-08-19 12:00:00,,6,Hotham Inlet
2012-08-26 12:00:00,28.670742,35,Hotham Inlet
2012-09-02 12:00:00,26.366955,32,Hotham Inlet
2012-09-09 12:00:00,17.316067,53,Hotham Inlet
2012-09-16 12:00:00,,0,Hotham Inlet
2012-09-23 12:00:00,21.327467,44,Hotham Inlet
2012-09-30 12:00:00,,0,Hotham Inlet
2012-10-07 12:00:00,,0,Hotham Inlet
2012-10-14 12:00:00,,0,Hotham Inlet
2012-10-21 12:00:00,,0,Hotham Inlet
2012-10-28 12:00:00,,0,Hotham Inlet
2012-11-04 12:00:00,,0,Hotham Inlet
2012-11-11 12:00:00,,0,Hotham Inlet
2012-11-18 12:00:00,,0,Hotham Inlet
2012-11-25 12:00:00,,0,Hotham Inlet
2012-12-02 12:00:00,,0,Hotham Inlet
2012-12-09 12:00:00,,0,Hotham Inlet
2012-12-16 12:00:00,,0,Hotham Inlet
2012-12-23 12:00:00,,0,Hotham Inlet
2013-01-01 12:00:00,,0,Hotham Inlet
2013-01-08 12:00:00,,0,Hotham Inlet
2013-01-15 12:00:00,,0,Hotham Inlet
2013-01-22 12:00:00,,0,Hotham Inlet
2013-01-29 12:00:00,,0,Hotham Inlet
2013-02-05 12:00:00,,0,Hotham Inlet
2013-02-12 12:00:00,,0,Hotham Inlet
2013-02-19 12:00:00,,0,Hotham Inlet
2013-02-26 12:00:00,,0,Hotham Inlet
2013-03-05 12:00:00,,0,Hotham Inlet
2013-03-12 12:00:00,,0,Hotham Inlet
2013-03-19 12:00:00,,0,Hotham Inlet
2013-03-26 12:00:00,,0,Hotham Inlet
2013-04-02 12:00:00,,0,Hotham Inlet
2013-04-09 12:00:00,,0,Hotham Inlet
2013-04-16 12:00:00,,0,Hotham Inlet
2013-04-23 12:00:00,,0,Hotham Inlet
2013-04-30 12:00:00,,0,Hotham Inlet
2013-05-07 12:00:00,,0,Hotham Inlet
2013-05-14 12:00:00,,0,Hotham Inlet
2013-05-21 12:00:00,,0,Hotham Inlet
2013-05-28 12:00:00,,0,Hotham Inlet
2013-06-04 12:00:00,,0,Hotham Inlet
2013-06-11 12:00:00,,0,Hotham Inlet
2013-06-18 12:00:00,13.488619,34,Hotham Inlet
2013-06-25 12:00:00,8.57489,38,Hotham Inlet
2013-07-02 12:00:00,16.759315,41,Hotham Inlet
2013-07-09 12:00:00,33.201164,49,Hotham Inlet
2013-07-16 12:00:00,13.579161,26,Hotham Inlet
2013-07-23 12:00:00,20.922968,36,Hotham Inlet
2013-07-30 12:00:00,12.313099,22,Hotham Inlet
2013-08-06 12:00:00,,6,Hotham Inlet
2013-08-13 12:00:00,31.035908,50,Hotham Inlet
2013-08-20 12:00:00,29.32029,50,Hotham Inlet
2013-08-27 12:00:00,23.454527,48,Hotham Inlet
2013-09-03 12:00:00,19.961071,51,Hotham Inlet
2013-09-10 12:00:00,16.444763,44,Hotham Inlet
2013-09-17 12:00:00,20.677353,49,Hotham Inlet
2013-09-24 12:00:00,24.712137,45,Hotham Inlet
2013-10-01 12:00:00,,0,Hotham Inlet
2013-10-08 12:00:00,,0,Hotham Inlet
2013-10-15 12:00:00,,0,Hotham Inlet
2013-10-22 12:00:00,,0,Hotham Inlet
2013-10-29 12:00:00,,0,Hotham Inlet
2013-11-05 12:00:00,,0,Hotham Inlet
2013-11-12 12:00:00,,0,Hotham Inlet
2013-11-19 12:00:00,,0,Hotham Inlet
2013-11-26 12:00:00,,0,Hotham Inlet
2013-12-03 12:00:00,,0,Hotham Inlet
2013-12-10 12:00:00,,0,Hotham Inlet
2013-12-17 12:00:00,,0,Hotham Inlet
2013-12-24 12:00:00,,0,Hotham Inlet
2014-01-01 12:00:00,,0,Hotham Inlet
2014-01-08 12:00:00,,0,Hotham Inlet
2014-01-15 12:00:00,,0,Hotham Inlet
2014-01-22 12:00:00,,0,Hotham Inlet
2014-01-29 12:00:00,,0,Hotham Inlet
2014-02-05 12:00:00,,0,Hotham Inlet
2014-02-12 12:00:00,,0,Hotham Inlet
2014-02-19 12:00:00,,0,Hotham Inlet
2014-02-26 12:00:00,,0,Hotham Inlet
2014-03-05 12:00:00,,0,Hotham Inlet
2014-03-12 12:00:00,,0,Hotham Inlet
2014-03-19 12:00:00,,0,Hotham Inlet
2014-03-26 12:00:00,,0,Hotham Inlet
2014-04-02 12:00:00,,0,Hotham Inlet
2014-04-09 12:00:00,,0,Hotham Inlet
2014-04-16 12:00:00,,0,Hotham Inlet
2014-04-23 12:00:00,,0,Hotham Inlet
2014-04-30 12:00:00,,0,Hotham Inlet
2014-05-07 12:00:00,,0,Hotham Inlet
2014-05-14 12:00:00,,0,Hotham Inlet
2014-05-21 12:00:00,,0,Hotham Inlet
2014-05-28 12:00:00,,0,Hotham Inlet
2014-06-04 12:00:00,,0,Hotham Inlet
2014-06-11 12:00:00,,0,Hotham Inlet
2014-06-18 12:00:00,,0,Hotham Inlet
2014-06-25 12:00:00,,0,Hotham Inlet
2014-07-02 12:00:00,25.212292,45,Hotham Inlet
2014-07-09 12:00:00,13.342727,19,Hotham Inlet
2014-07-16 12:00:00,,0,Hotham Inlet
2014-07-23 12:00:00,,2,Hotham Inlet
2014-07-30 12:00:00,23.193682,54,Hotham Inlet
2014-08-06 12:00:00,26.522465,52,Hotham Inlet
2014-08-13 12:00:00,20.795935,34,Hotham Inlet
2014-08-20 12:00:00,24.831684,41,Hotham Inlet
2014-08-27 12:00:00,20.198395,44,Hotham Inlet
2014-09-03 12:00:00,22.276424,54,Hotham Inlet
2014-09-10 12:00:00,14.811714,42,Hotham Inlet
2014-09-17 12:00:00,18.46802,52,Hotham Inlet
2014-09-24 12:00:00,10.3213005,32,Hotham Inlet
2014-10-01 12:00:00,,0,Hotham Inlet
2014-10-08 12:00:00,,0,Hotham Inlet
2014-10-15 12:00:00,,0,Hotham Inlet
2014-10-22 12:00:00,,0,Hotham Inlet
2014-10-29 12:00:00,,0,Hotham Inlet
2014-11-05 12:00:00,,0,Hotham Inlet
2014-11-12 12:00:00,,0,Hotham Inlet
2014-11-19 12:00:00,,0,Hotham Inlet
2014-11-26 12:00:00,,0,Hotham Inlet
2014-12-03 12:00:00,,0,Hotham Inlet
2014-12-10 12:00:00,,0,Hotham Inlet
2014-12-17 12:00:00,,0,Hotham Inlet
2014-12-24 12:00:00,,0,Hotham Inlet
2015-01-01 12:00:00,,0,Hotham Inlet
2015-01-08 12:00:00,,0,Hotham Inlet
2015-01-15 12:00:00,,0,Hotham Inlet
2015-01-22 12:00:00,,0,Hotham Inlet
2015-01-29 12:00:00,,0,Hotham Inlet
2015-02-05 12:00:00,,0,Hotham Inlet
2015-02-12 12:00:00,,0,Hotham Inlet
2015-02-19 12:00:00,,0,Hotham Inlet
2015-02-26 12:00:00,,0,Hotham Inlet
2015-03-05 12:00:00,,0,Hotham Inlet
2015-03-12 12:00:00,,0,Hotham Inlet
2015-03-19 12:00:00,,0,Hotham Inlet
2015-03-26 12:00:00,,0,Hotham Inlet
2015-04-02 12:00:00,,0,Hotham Inlet
2015-04-09 12:00:00,,0,Hotham Inlet
2015-04-16 12:00:00,,0,Hotham Inlet
2015-04-23 12:00:00,,0,Hotham Inlet
2015-04-30 12:00:00,,0,Hotham Inlet
2015-05-07 12:00:00,,0,Hotham Inlet
2015-05-14 12:00:00,,0,Hotham Inlet
2015-05-21 12:00:00,,0,Hotham Inlet
2015-05-28 12:00:00,,0,Hotham Inlet
2015-06-04 12:00:00,,0,Hotham Inlet
2015-06-11 12:00:00,,7,Hotham Inlet
2015-06-18 12:00:00,25.69312,43,Hotham Inlet
2015-06-25 12:00:00,,3,Hotham Inlet
2015-07-02 12:00:00,,0,Hotham Inlet
2015-07-09 12:00:00,24.67002,30,Hotham Inlet
2015-07-16 12:00:00,27.107948,38,Hotham Inlet
2015-07-23 12:00:00,35.693466,48,Hotham Inlet
2015-07-30 12:00:00,30.055168,47,Hotham Inlet
2015-08-06 12:00:00,34.658886,45,Hotham Inlet
2015-08-13 12:00:00,17.330439,24,Hotham Inlet
2015-08-20 12:00:00,15.516676,33,Hotham Inlet
2015-08-27 12:00:00,19.01667,51,Hotham Inlet
2015-09-03 12:00:00,15.088517,47,Hotham Inlet
2015-09-10 12:00:00,19.0708,50,Hotham Inlet
2015-09-17 12:00:00,21.003658,47,Hotham Inlet
2015-09-24 12:00:00,4.5416975,45,Hotham Inlet
2015-10-01 12:00:00,,0,Hotham Inlet
2015-10-08 12:00:00,,0,Hotham Inlet
2015-10-15 12:00:00,,0,Hotham Inlet
2015-10-22 12:00:00,,0,Hotham Inlet
2015-10-29 12:00:00,,0,Hotham Inlet
2015-11-05 12:00:00,,0,Hotham Inlet
2015-11-12 12:00:00,,0,Hotham Inlet
2015-11-19 12:00:00,,0,Hotham Inlet
2015-11-26 12:00:00,,0,Hotham Inlet
2015-12-03 12:00:00,,0,Hotham Inlet
2015-12-10 12:00:00,,0,Hotham Inlet
2015-12-17 12:00:00,,0,Hotham Inlet
2015-12-24 12:00:00,,0,Hotham Inlet
2016-01-01 12:00:00,,0,Hotham Inlet
2016-01-08 12:00:00,,0,Hotham Inlet
2016-01-15 12:00:00,,0,Hotham Inlet
2016-01-22 12:00:00,,0,Hotham Inlet
2016-01-29 12:00:00,,0,Hotham Inlet
2016-02-05 12:00:00,,0,Hotham Inlet
2016-02-12 12:00:00,,0,Hotham Inlet
2016-02-19 12:00:00,,0,Hotham Inlet
2016-02-26 12:00:00,,0,Hotham Inlet
2016-03-04 12:00:00,,0,Hotham Inlet
2016-03-11 12:00:00,,0,Hotham Inlet
2016-03-18 12:00:00,,0,Hotham Inlet
2016-03-25 12:00:00,,0,Hotham Inlet
2016-04-01 12:00:00,,0,Hotham Inlet
2016-04-08 12:00:00,,0,Hotham Inlet
2016-04-15 12:00:00,,0,Hotham Inlet
2016-04-22 12:00:00,,0,Hotham Inlet
2016-04-29 12:00:00,,0,Hotham Inlet
2016-05-06 12:00:00,,0,Hotham Inlet
2016-05-13 12:00:00,,0,Hotham Inlet
2016-05-20 12:00:00,,0,Hotham Inlet
2016-05-27 12:00:00,,0,Hotham Inlet
2016-06-03 12:00:00,,0,Hotham Inlet
2016-06-10 12:00:00,,0,Hotham Inlet
2016-06-17 12:00:00,,0,Hotham Inlet
2016-06-24 12:00:00,,0,Hotham Inlet
2016-07-01 12:00:00,21.990683,40,Hotham Inlet
2016-07-08 12:00:00,29.090841,39,Hotham Inlet
2016-07-15 12:00:00,,4,Hotham Inlet
2016-07-22 12:00:00,31.390232,36,Hotham Inlet
2016-07-29 12:00:00,30.393293,50,Hotham Inlet
2016-08-05 12:00:00,20.089005,36,Hotham Inlet
2016-08-12 12:00:00,31.86687,52,Hotham Inlet
2016-08-19 12:00:00,22.73421,36,Hotham Inlet
2016-08-26 12:00:00,30.25996,52,Hotham Inlet
2016-09-02 12:00:00,31.306755,53,Hotham Inlet
2016-09-09 12:00:00,27.857738,46,Hotham Inlet
2016-09-16 12:00:00,15.725291,47,Hotham Inlet
2016-09-23 12:00:00,17.019758,45,Hotham Inlet
2016-09-30 12:00:00,,0,Hotham Inlet
2016-10-07 12:00:00,,0,Hotham Inlet
2016-10-14 12:00:00,,0,Hotham Inlet
2016-10-21 12:00:00,,0,Hotham Inlet
2016-10-28 12:00:00,,0,Hotham Inlet
2016-11-04 12:00:00,,0,Hotham Inlet
2016-11-11 12:00:00,,0,Hotham Inlet
2016-11-18 12:00:00,,0,Hotham Inlet
2016-11-25 12:00:00,,0,Hotham Inlet
2016-12-02 12:00:00,,0,Hotham Inlet
2016-12-09 12:00:00,,0,Hotham Inlet
2016-12-16 12:00:00,,0,Hotham Inlet
2016-12-23 12:00:00,,0,Hotham Inlet
2017-01-01 12:00:00,,0,Hotham Inlet
2017-01-08 12:00:00,,0,Hotham Inlet
2017-01-15 12:00:00,,0,Hotham Inlet
2017-01-22 12:00:00,,0,Hotham Inlet
2017-01-29 12:00:00,,0,Hotham Inlet
2017-02-05 12:00:00,,0,Hotham Inlet
2017-02-12 12:00:00,,0,Hotham Inlet
2017-02-19 12:00:00,,0,Hotham Inlet
2017-02-26 12:00:00,,0,Hotham Inlet
2017-03-05 12:00:00,,0,Hotham Inlet
2017-03-12 12:00:00,,0,Hotham Inlet
2017-03-19 12:00:00,,0,Hotham Inlet
2017-03-26 12:00:00,,0,Hotham Inlet
2017-04-02 12:00:00,,0,Hotham Inlet
2017-04-09 12:00:00,,0,Hotham Inlet
2017-04-16 12:00:00,,0,Hotham Inlet
2017-04-23 12:00:00,,0,Hotham Inlet
2017-04-30 12:00:00,,0,Hotham Inlet
2017-05-07 12:00:00,,0,Hotham Inlet
2017-05-14 12:00:00,,0,Hotham Inlet
2017-05-21 12:00:00,,0,Hotham Inlet
2017-05-28 12:00:00,,0,Hotham Inlet
2017-06-04 12:00:00,,0,Hotham Inlet
2017-06-11 12:00:00,,0,Hotham Inlet
2017-06-18 12:00:00,,0,Hotham Inlet
2017-06-25 12:00:00,21.341557,40,Hotham Inlet
2017-07-02 12:00:00,27.201872,47,Hotham Inlet
2017-07-09 12:00:00,21.840237,42,Hotham Inlet
2017-07-16 12:00:00,18.74488,38,Hotham Inlet
2017-07-23 12:00:00,19.010735,37,Hotham Inlet
2017-07-30 12:00:00,21.885118,45,Hotham Inlet
2017-08-06 12:00:00,12.298243,36,Hotham Inlet
2017-08-13 12:00:00,10.492233,32,Hotham Inlet
2017-08-20 12:00:00,28.789925,54,Hotham Inlet
2017-08-27 12:00:00,24.960663,52,Hotham Inlet
2017-09-03 12:00:00,18.439629,51,Hotham Inlet
2017-09-10 12:00:00,14.993312,21,Hotham Inlet
2017-09-17 12:00:00,21.59776,36,Hotham Inlet
2017-09-24 12:00:00,20.77938,52,Hotham Inlet
2017-10-01 12:00:00,,0,Hotham Inlet
2017-10-08 12:00:00,,0,Hotham Inlet
2017-10-15 12:00:00,,0,Hotham Inlet
2017-10-22 12:00:00,,0,Hotham Inlet
2017-10-29 12:00:00,,0,Hotham Inlet
2017-11-05 12:00:00,,0,Hotham Inlet
2017-11-12 12:00:00,,0,Hotham Inlet
2017-11-19 12:00:00,,0,Hotham Inlet
2017-11-26 12:00:00,,0,Hotham Inlet
2017-12-03 12:00:00,,0,Hotham Inlet
2017-12-10 12:00:00,,0,Hotham Inlet
2017-12-17 12:00:00,,0,Hotham Inlet
2017-12-24 12:00:00,,0,Hotham Inlet
2018-01-01 12:00:00,,0,Hotham Inlet
2018-01-08 12:00:00,,0,Hotham Inlet
2018-01-15 12:00:00,,0,Hotham Inlet
2018-01-22 12:00:00,,0,Hotham Inlet
2018-01-29 12:00:00,,0,Hotham Inlet
2018-02-05 12:00:00,,0,Hotham Inlet
2018-02-12 12:00:00,,0,Hotham Inlet
2018-02-19 12:00:00,,0,Hotham Inlet
2018-02-26 12:00:00,,0,Hotham Inlet
2018-03-05 12:00:00,,0,Hotham Inlet
2018-03-12 12:00:00,,0,Hotham Inlet
2018-03-19 12:00:00,,0,Hotham Inlet
2018-03-26 12:00:00,,0,Hotham Inlet
2018-04-02 12:00:00,,0,Hotham Inlet
2018-04-09 12:00:00,,0,Hotham Inlet
2018-04-16 12:00:00,,0,Hotham Inlet
2018-04-23 12:00:00,,0,Hotham Inlet
2018-04-30 12:00:00,,0,Hotham Inlet
2018-05-07 12:00:00,,0,Hotham Inlet
2018-05-14 12:00:00,,0,Hotham Inlet
2018-05-21 12:00:00,,0,Hotham Inlet
2018-05-28 12:00:00,,0,Hotham Inlet
2018-06-04 12:00:00,,0,Hotham Inlet
2018-06-11 12:00:00,,7,Hotham Inlet
2018-06-18 12:00:00,1.9542292,11,Hotham Inlet
2018-06-25 12:00:00,19.537783,43,Hotham Inlet
2018-07-02 12:00:00,18.618114,35,Hotham Inlet
2018-07-09 12:00:00,,4,Hotham Inlet
2018-07-16 12:00:00,,7,Hotham Inlet
2018-07-23 12:00:00,22.294685,36,Hotham Inlet
2018-07-30 12:00:00,13.367978,38,Hotham Inlet
2018-08-06 12:00:00,18.272738,39,Hotham Inlet
2018-08-13 12:00:00,31.069172,37,Hotham Inlet
2018-08-20 12:00:00,20.297771,36,Hotham Inlet
2018-08-27 12:00:00,13.897329,42,Hotham Inlet
2018-09-03 12:00:00,19.787556,50,Hotham Inlet
2018-09-10 12:00:00,24.878422,39,Hotham Inlet
2018-09-17 12:00:00,7.68311,51,Hotham Inlet
2018-09-24 12:00:00,28.548836,29,Hotham Inlet
2018-10-01 12:00:00,,0,Hotham Inlet
2018-10-08 12:00:00,,0,Hotham Inlet
2018-10-15 12:00:00,,0,Hotham Inlet
2018-10-22 12:00:00,,0,Hotham Inlet
2018-10-29 12:00:00,,0,Hotham Inlet
2018-11-05 12:00:00,,0,Hotham Inlet
2018-11-12 12:00:00,,0,Hotham Inlet
2018-11-19 12:00:00,,0,Hotham Inlet
2018-11-26 12:00:00,,0,Hotham Inlet
2018-12-03 12:00:00,,0,Hotham Inlet
2018-12-10 12:00:00,,0,Hotham Inlet
2018-12-17 12:00:00,,0,Hotham Inlet
2018-12-24 12:00:00,,0,Hotham Inlet
2019-01-01 12:00:00,,0,Hotham Inlet
2019-01-08 12:00:00,,0,Hotham Inlet
2019-01-15 12:00:00,,0,Hotham Inlet
2019-01-22 12:00:00,,0,Hotham Inlet
2019-01-29 12:00:00,,0,Hotham Inlet
2019-02-05 12:00:00,,0,Hotham Inlet
2019-02-12 12:00:00,,0,Hotham Inlet
2019-02-19 12:00:00,,0,Hotham Inlet
2019-02-26 12:00:00,,0,Hotham Inlet
2019-03-05 12:00:00,,0,Hotham Inlet
2019-03-12 12:00:00,,0,Hotham Inlet
2019-03-19 12:00:00,,0,Hotham Inlet
2019-03-26 12:00:00,,0,Hotham Inlet
2019-04-02 12:00:00,,0,Hotham Inlet
2019-04-09 12:00:00,,0,Hotham Inlet
2019-04-16 12:00:00,,0,Hotham Inlet
2019-04-23 12:00:00,,0,Hotham Inlet
2019-04-30 12:00:00,,0,Hotham Inlet
2019-05-07 12:00:00,,0,Hotham Inlet
