node_id,wse_ref_raw,wse_mad,width_med,n_obs,dist_out_km,river,wse_ref
81310800030011,0.765685,0.11124500000000004,854.3863335000001,90,14.22168196256113,Selawik,0.7005950000000001
81310800030021,0.7852,0.09941,829.800318,87,14.396160581183134,Selawik,0.7005950000000001
81310800030031,0.655365,0.19013499999999997,962.448005,56,14.60076579568388,Selawik,0.7005950000000001
81310800030041,0.72712,0.12348999999999999,816.7583835,92,14.814879480848292,Selawik,0.7005950000000001
81310800030051,0.74996,0.14011000000000007,675.967348,83,15.016095547591899,Selawik,0.7005950000000001
81310800030061,0.7005950000000001,0.1154699999999999,491.705017,60,15.214141028531918,Selawik,0.7005950000000001
81310800030071,0.63746,0.17686999999999997,833.186719,73,15.427192233664039,Selawik,0.7005950000000001
81310800040011,0.717285,0.14494500000000005,1038.2258305,88,15.628970011832228,Selawik,0.7005950000000001
81310800040021,0.6815,0.15537999999999996,682.368383,87,15.804171512299837,Selawik,0.7005950000000001
81310800040031,0.64872,0.14356000000000002,644.55909,87,15.978514278208863,Selawik,0.7005950000000001
81310800040041,0.6614,0.16808,430.89806250000004,92,16.15591246763401,Selawik,0.7005950000000001
81310800040051,0.70912,0.17867999999999995,273.902254,81,16.349472310787284,Selawik,0.7005950000000001
81310800040061,0.57723,0.18675000000000003,329.373575,81,16.54962137281664,Selawik,0.7005950000000001
81310800060011,0.572515,0.170375,305.4505675,60,22.22019764118705,Selawik,0.57015
81310800060021,0.58384,0.20426999999999995,375.544013,61,22.40113074934169,Selawik,0.5713325
81310800060031,0.57015,0.18380000000000002,393.103251,65,22.593905125711114,Selawik,0.572515
81310800060041,0.60288,0.19171999999999995,328.221175,71,22.802841226836165,Selawik,0.5781775
81310800060051,0.55294,0.17469,300.893995,63,23.019153205685896,Selawik,0.58384
81310800060061,0.5623400000000001,0.20762500000000003,303.5200945,70,23.213572720605324,Selawik,0.58662
81310800060071,0.5539700000000001,0.21504,310.47609750000004,70,23.40407809398056,Selawik,0.5894
81310800060081,0.55721,0.20958500000000002,341.50845300000003,80,23.607574562520814,Selawik,0.5899525000000001
81310800060091,0.55374,0.22416000000000003,321.865066,81,23.807306073660936,Selawik,0.5905050000000001
81310800060101,0.5571550000000001,0.21961000000000008,354.5645595,88,24.005055668881795,Selawik,0.5899525000000001
81310800060111,0.6138399999999999,0.20068000000000008,370.1601685,86,24.21751389898413,Selawik,0.5905050000000001
81310800060121,0.5905050000000001,0.19477499999999992,363.6394375,88,24.413480522863757,Selawik,0.5962625
81310800060131,0.60437,0.17959999999999998,309.443616,87,24.6106358739268,Selawik,0.60202
81310800060141,0.5894,0.19487,337.577645,87,24.809805961881175,Selawik,0.60202
81310800060151,0.63168,0.21699000000000002,248.88253350000002,82,25.013005499233795,Selawik,0.60288
81310800060161,0.60202,0.17397,221.872327,79,25.21795535350799,Selawik,0.60288
81310800060171,0.635305,0.23485,218.50875150000002,72,25.403572862838985,Selawik,0.60437
81310800060181,0.638085,0.19521999999999998,225.68974450000002,72,25.600728372786165,Selawik,0.60916
81310800060191,0.6703,0.19420000000000004,257.019245,63,25.801054561373146,Selawik,0.60916
81310800060201,0.61107,0.24519999999999997,237.472258,58,26.006004548065636,Selawik,0.61107
81310800060211,0.7259249999999999,0.21404499999999993,281.9714065,52,26.206155000814853,Selawik,0.61382
81310800060221,0.58782,0.22007000000000002,189.84310349999998,56,26.399852020495594,Selawik,0.61382
81310800060231,0.61978,0.22111999999999998,185.240898,55,26.600038483795736,Selawik,0.61382
81310800060241,0.61382,0.17252,169.9245535,46,26.799782384731113,Selawik,0.61382
81310800060251,0.63483,0.22674,215.96608,63,26.99753926801713,Selawik,0.6156900000000001
81310800060261,0.57149,0.20634500000000003,229.9186115,64,27.18736834129462,Selawik,0.61978
81310800060271,0.637675,0.23041499999999998,196.80789,66,27.387139601497495,Selawik,0.62597
81310800060281,0.5929599999999999,0.21007500000000007,200.73832149999998,58,27.596555879292886,Selawik,0.62597
81310800060291,0.65207,0.21594000000000002,226.465815,59,27.798017029791136,Selawik,0.63053
81310800060301,0.60916,0.19906999999999997,196.154957,59,28.00299745341821,Selawik,0.63053
81310800060311,0.575945,0.189235,231.3766625,70,28.20483492746923,Selawik,0.63053
81310800060321,0.62597,0.200245,243.7187775,76,28.40459980496597,Selawik,0.63053
81310800060331,0.6156900000000001,0.20287499999999992,243.325961,76,28.60581782722098,Selawik,0.63483
81310800060341,0.590025,0.22399000000000002,218.16099050000003,76,28.805968560869495,Selawik,0.63483
81310800060351,0.5899049999999999,0.24262499999999998,270.789166,70,28.99661078333878,Selawik,0.637675
81310800060361,0.64033,0.22440000000000004,227.143314,61,29.18778363295545,Selawik,0.64033
81310800060371,0.698975,0.22601500000000002,230.4201425,66,29.386198033693084,Selawik,0.65207
81310800060381,0.67492,0.22140999999999997,218.84621349999998,68,29.593913772649234,Selawik,0.65562
81310800060391,0.63053,0.2111,282.076926,71,29.796041894176703,Selawik,0.67492
81310800060401,0.68535,0.23313,253.111117,76,29.994448241469446,Selawik,0.68535
81310800060411,0.65562,0.23664000000000007,318.602773,69,30.197247550005617,Selawik,0.68535
81310800060421,0.70329,0.23052,315.317324,88,30.386269015745306,Selawik,0.68535
81310800060431,0.68997,0.22414999999999996,333.056141,95,30.598229140349716,Selawik,0.68817
81310800060441,0.711465,0.23618999999999998,322.5057505,94,30.806494818013164,Selawik,0.68817
81310800060451,0.75897,0.24058000000000002,290.319514,103,31.00972781802649,Selawik,0.6897500000000001
81310800060461,0.68817,0.22372999999999993,303.935099,99,31.209493012041353,Selawik,0.68997
81310800060471,0.70201,0.233145,294.2242935,100,31.405460476804016,Selawik,0.69445
81310800060481,0.764225,0.24098000000000003,368.37291,100,31.60373985656359,Selawik,0.69504
81310800060491,0.70044,0.2158500000000001,355.708099,109,31.803880830529405,Selawik,0.697675
81310800060501,0.75018,0.2316499999999999,307.788829,101,32.00515044773644,Selawik,0.697675
81310800060511,0.6897500000000001,0.21701999999999994,222.362009,110,32.20088128975154,Selawik,0.70044
81310800060521,0.69445,0.21151000000000003,206.011399,99,32.3972010625093,Selawik,0.70044
81310800060531,0.6288,0.19680000000000003,187.030683,95,32.59094488749226,Selawik,0.70044
81310800060541,0.68127,0.19892000000000004,198.733566,97,32.79511004068737,Selawik,0.70188
81310800060551,0.7153400000000001,0.211395,234.214651,100,33.00720269828053,Selawik,0.70188
81310800060561,0.656725,0.211805,327.441696,118,33.19307748925555,Selawik,0.70201
81310800060571,0.70188,0.19832000000000005,257.846857,119,33.38171551914378,Selawik,0.70201
81310800060581,0.69504,0.22729,273.579492,115,33.59828250476984,Selawik,0.70201
81310800060591,0.70333,0.211365,286.340594,114,33.81041199528164,Selawik,0.70333
81310800060601,0.7154,0.23806000000000005,261.40935,113,34.00548818392518,Selawik,0.70356
81310800060611,0.697675,0.21624500000000002,181.839988,108,34.205220937343725,Selawik,0.70356
