reach_id,x,y,x_min,x_max,y_min,y_max,reach_length,n_nodes,wse,width,slope,facc,dist_out,type,lakeflag,swot_obs,n_chan_max,n_chan_mod,max_width,low_slope_flag,stream_order,main_path_id,is_mainstem,path_order,end_reach,n_rch_up,n_rch_down,river_name,river,dist_out_km
81310600126,-160.20736945651137,65.78807381321921,-160.20931406355578,-160.20542445271602,65.78759698191715,65.78854294236008,214.20730496904218,1,25.600000381469727,63.0,2.887700387542841e-15,3896.883413665511,128057.94412045651,6,0,4,1,1,90.0,0,-9999,7000958,0,-9999,1,0,1,NODATA,Buckland,128.0579441204565
81310600111,-160.24270590308714,65.79750793498503,-160.27508612288906,-160.20996693333066,65.77662138784478,65.81636431371042,10497.487900215152,53,25.600000381469727,42.0,0.24686841908157417,4178.920684159434,127843.73681548773,1,0,5,2,1,330.0,0,1,7000958,1,3951,0,1,1,NODATA,Buckland,127.84373681548773
81310600101,-160.35030327082316,65.82261938854273,-160.423937289145,-160.26075986869714,65.81328281820447,65.85100617953431,14082.025677548902,70,19.700000762939453,42.0,0.32574202347521675,4550.857334623295,117346.2489152701,1,0,5,2,1,330.0,0,1,7000958,1,3742,0,1,1,NODATA,Buckland,117.3462489152701
81310600091,-160.54091025352656,65.85480202450775,-160.57046162503286,-160.42408358255224,65.83053925149402,65.87300078336504,15207.317125505027,76,8.5,45.0,0.6251279986273678,4950.116345666254,103264.22323771649,1,0,5,2,1,240.0,0,1,7000958,1,3427,0,1,1,NODATA,Buckland,103.2642232377165
81310600081,-160.65812476069874,65.82467802313006,-160.80958194987795,-160.55809502089974,65.8173253190662,65.83614892161997,15843.256095320326,79,6.200000286102295,57.0,0.19234307975412843,5382.867282580368,88056.90611219831,1,0,5,1,1,150.0,0,1,7000958,1,3007,0,1,1,NODATA,Buckland,88.0569061121983
81310600071,-160.897881944497,65.82360800214063,-160.9581601917793,-160.81023798822864,65.81116388708371,65.84268836719784,10358.637277233533,52,6.200000286102295,60.0,3.8350748929180505e-16,5651.684056019888,72213.6500168792,1,0,5,1,1,180.0,0,1,7000958,1,2526,0,1,1,NODATA,Buckland,72.2136500168792
81310600061,-160.9991689850863,65.87090504889805,-161.01315487423489,-160.9395501497633,65.84295568521567,65.91104822460625,10357.705287116043,52,6.200000286102295,63.0,6.585408141599515e-16,5924.907661810876,61855.01273965359,1,0,4,2,1,420.0,0,1,7000958,1,2207,0,1,1,NODATA,Buckland,61.85501273965359
81310600051,-161.12300365162903,65.9582286142922,-161.18710728853443,-161.00710569173307,65.91114721478749,66.01402917464071,19768.22467740278,99,1.4750000834465031,94.0,0.2604732815188888,6443.151146343459,51497.307452525274,1,0,4,2,1,636.0,0,1,7000958,1,1832,0,1,1,NODATA,Buckland,51.49730745252528
81310600041,-161.14896295982606,66.051117812819,-161.17338398298935,-161.13705112046398,66.01429626471683,66.08731483504508,10429.603288480033,52,0.0,298.0,0.004743162801437744,6726.069783307676,31729.082775121504,1,0,4,1,1,648.0,0,1,7000958,1,1091,0,1,1,NODATA,Buckland,31.729082775121505
81310600033,-161.1828805309983,66.09662670457224,-161.19209113302946,-161.16932705772575,66.08735931210397,66.10696693513509,3250.0876493573724,16,0.0,405.0,0.0,6809.799597985559,21299.479486635726,3,3,3,3,1,1015.0,0,1,7000958,1,708,0,1,1,NODATA,Buckland,21.299479486635725
81310600021,-161.1589422392451,66.1098015605666,-161.16867754261966,-161.14921078356008,66.10713761937134,66.11252584077316,1068.5561529128497,5,0.0,482.0,0.0,6837.121958564658,18049.391837282215,1,0,3,3,2,1680.0,0,1,7000958,1,535,0,1,1,NODATA,Buckland,18.049391837282215
81310600013,-161.10793625482907,66.11859318606817,-161.1485655421061,-161.07822101696988,66.11275023203959,66.13137604967798,4365.961047842265,22,0.0,840.0,0.0,6955.225065583988,16980.835684369886,1,0,4,4,2,2835.0,0,1,7000958,1,488,0,1,1,NODATA,Buckland,16.980835684369886
81310700031,-161.06178861486939,66.15623314627787,-161.0778446635897,-161.04990770833408,66.13165037080829,66.18075910417181,5698.826229296259,28,0.0,1254.5,0.0,7115.633763177407,12614.874636529516,1,0,4,5,2,4002.0,0,1,7000958,1,349,0,1,1,NODATA,Buckland,12.614874636529516
81310700023,-161.03672938974688,66.20826062296544,-161.04953032164866,-160.99330032860396,66.18103335741138,66.23319424729125,6752.384343118194,34,0.0,3090.0,0.0,7294.551156646989,6916.048407235603,3,3,4,6,1,5070.0,0,1,7000958,1,137,0,1,1,NODATA,Buckland,6.916048407235603
81310700016,-160.99096269979867,66.23317041624354,-160.99263364661877,-160.98927903682844,66.23297662303642,66.23323704889235,163.66406412743643,1,0.0,576.0,0.0,7299.83935546875,163.66406412795862,6,3,3,2,2,3181.0,0,-9999,7000958,0,-9999,2,1,0,NODATA,Buckland,0.16366406412795861
81320100125,-160.89899308178104,66.9205058618977,-160.99285246206134,-160.78522082968055,66.90338782729026,66.93397647050944,13988.712010119478,70,4.0,150.0,0.4396694022929817,7974.8384,65176.12385286252,5,3,6,3,1,6788.0,0,4,7001381,1,46,0,1,1,NODATA,HothamInletChannel,65.17612385286252
81320100135,-161.02737349725115,66.91685487458511,-161.1003807130761,-160.98953100087937,66.90060390043514,66.93323285984297,10708.704665011424,54,4.400000095367432,148.0,0.11195045220049074,7974.8384,51187.41184275296,5,3,6,1,1,999.0,0,4,7001381,1,36,0,1,1,NODATA,HothamInletChannel,51.18741184275296
81330000095,-161.1898975563031,66.8834091477048,-161.28516812977955,-161.10107012159318,66.87214582048576,66.90472986910615,10730.510413537586,54,3.200000047683716,213.5,0.007856614094018994,7974.8384,40478.707177744815,5,3,5,2,1,1090.0,0,4,7001381,1,28,0,1,1,NODATA,HothamInletChannel,40.478707177744816
81330000105,-161.39662743165138,66.88406764834366,-161.477700883302,-161.28587263162032,66.85808435608344,66.89167327376862,10707.059185957896,54,2.200000047683716,170.0,0.2253432777356774,7974.8384,29748.196764209162,5,3,4,2,1,1020.0,0,4,7001381,1,20,0,1,1,NODATA,HothamInletChannel,29.748196764209162
81330000115,-161.56082362091502,66.83868998798604,-161.66602379999898,-161.47188301813347,66.80107968979338,66.86494674460873,18850.051709006293,94,1.300000071525574,108.0,0.775725725272641,7974.8384,19041.137578248163,5,3,4,1,1,1081.0,0,4,7001381,1,12,0,1,1,NODATA,HothamInletChannel,19.04113757824816
81330000126,-161.66847105148867,66.80352677723441,-161.670517819924,-161.66655172771735,66.80342726533891,66.80368456938413,191.08586924287144,1,139.75,129.0,479.84426296254054,7974.8384,191.08586924245873,6,3,3,1,1,678.0,0,-9999,7001381,0,-9999,2,1,0,NODATA,HothamInletChannel,0.19108586924245874
81320900061,-154.63978342410914,66.85880690495264,-154.69878490262326,-154.54621912878093,66.81173258526064,66.90951091340459,18060.17017339992,90,166.1999969482422,84.0,0.8404552879087194,1977.3136979297267,533878.3045756449,1,0,5,2,1,362.0,0,1,7000490,1,9124,0,1,1,Kobuk River,Kobuk,533.8783045756448
81320900051,-154.79529871863392,66.79636023823821,-154.96744339626835,-154.69917576826984,66.78432784008183,66.81700588201618,18501.577072679258,92,142.5,75.0,1.502510709420994,2182.677734375,515818.1344022488,1,0,5,4,1,480.0,0,1,7000490,1,8969,0,1,1,Kobuk River,Kobuk,515.8181344022488
81320900041,-155.06371833450268,66.80928129012305,-155.14462498432778,-154.96885150265035,66.79801214332885,66.81844724351933,11847.503790080045,59,121.0,77.0,1.2559176546186575,4244.522611374021,497316.5573295737,1,0,5,2,1,509.0,0,2,7000490,1,2286,3,2,1,Kobuk River,Kobuk,497.31655732957375
81320900031,-155.24099447015806,66.76695490436087,-155.39410021992296,-155.1182629903982,66.74330739653921,66.79850039917447,17305.360403686722,87,106.30000305175781,123.0,0.7066779196393803,4507.903712977317,485469.0535394961,1,0,6,2,1,823.0,0,2,7000490,1,2259,0,1,1,Kobuk River,Kobuk,485.4690535394961
81320900021,-155.5537638295493,66.75983765771433,-155.7166440105494,-155.39453465398105,66.74681672869892,66.77607288727498,19522.09072123281,98,92.4000015258789,95.0,0.8061143199507104,4798.069333387729,468163.6931358033,1,0,5,2,1,510.0,0,2,7000490,1,2215,0,1,1,Kobuk River,Kobuk,468.16369313580327
81320900011,-155.85437291727277,66.77454542751289,-155.99969333382296,-155.71733689460478,66.7636455640152,66.77878404079624,14175.237446353429,71,81.57500076293945,121.0,0.8010980514432737,5016.313560704961,448641.60241456993,1,0,6,3,1,690.0,0,2,7000490,1,2167,0,1,1,Kobuk River,Kobuk,448.64160241456995
81320700141,-156.05704426072606,66.78657032139034,-156.12545701765066,-156.00023777854295,66.76301780029196,66.82127468915692,10202.390093166587,51,64.30000305175781,138.0,0.586328843518997,7464.3232421875,434466.36496821564,1,0,4,4,1,300.0,0,2,7000490,1,2129,0,1,1,Kobuk River,Kobuk,434.46636496821566
81320700131,-156.2248760973039,66.84186765087772,-156.30950104815238,-156.12612029416707,66.82144836293422,66.85721036500246,10139.487670873139,51,59.150001525878906,123.0,0.560247926102524,7566.0166015625,424263.9748750495,1,0,5,2,1,488.0,0,2,7000490,1,2105,0,1,1,Kobuk River,Kobuk,424.2639748750495
81320700121,-156.39847309616687,66.85695454136923,-156.4672022406041,-156.31021383679825,66.84592817670239,66.8705905754321,10430.256094203452,52,52.32499885559082,148.0,0.880929898791103,9306.464661849517,414124.48720418656,1,0,4,4,1,1800.0,0,2,7000490,1,1044,3,2,1,Kobuk River,Kobuk,414.12448720418655
81320700111,-156.53030382345096,66.87803835618683,-156.62736153811807,-156.46402652007998,66.85519198389028,66.88363361214061,10396.994899890082,52,47.0,127.0,0.45300059426950234,9481.673324336105,403694.23110998556,1,0,5,5,1,2010.0,0,2,7000490,1,1029,0,1,1,Kobuk River,Kobuk,403.69423110998554
81320700101,-156.7312353161131,66.8759795441694,-156.82546396372226,-156.62805611727038,66.86065622078681,66.89040708103715,17698.204696491306,88,41.79999923706055,101.0,0.17126491634881902,9779.6396484375,393297.2362100886,1,0,5,3,1,2010.0,0,2,7000490,1,1015,0,1,1,Kobuk River,Kobuk,393.2972362100886
81320700091,-156.89159139692777,66.90067497965603,-156.99092041995823,-156.81915559334251,66.86333019806953,66.917869302281,15830.01433627284,79,37.70000076293945,169.0,0.2832729232802557,11168.331,375599.0315135959,1,0,5,2,1,711.0,0,2,7000490,1,565,3,2,1,NODATA,Kobuk,375.5990315135959
81320700081,-157.06949160627946,66.89038729054593,-157.14500174286144,-156.99160504899623,66.87189639244309,66.90348227193093,10374.869643731226,52,33.900001525878906,190.0,0.5361276084633244,11421.1546,359769.0171773269,1,0,5,6,1,1680.0,0,2,7000490,1,553,0,1,1,NODATA,Kobuk,359.7690171773269
81320700071,-157.2289989451753,66.8682085433118,-157.37904794799104,-157.14543255884502,66.8411231904189,66.8868072895234,18514.374972342954,93,31.700000762939453,202.0,0.003990295612620475,11878.2134,349394.1475335943,1,0,5,3,1,1348.0,0,2,7000490,1,543,0,1,1,NODATA,Kobuk,349.39414753359426
81320700061,-157.38232165200344,66.9017610734348,-157.43000994912688,-157.33121426233146,66.8685515854516,66.91404092252532,12621.070279141795,63,31.30000114440918,237.0,0.05591050368477675,12185.3899,330879.7725612513,1,0,5,2,1,636.0,0,2,7000490,1,529,0,1,1,NODATA,Kobuk,330.8797725612513
81320700051,-157.47684002804428,66.92395823335764,-157.54437222356725,-157.42266620286438,66.91292917650414,66.93970362532602,10743.867006470657,54,28.5,225.0,0.11983261566746284,12455.5075,318258.70228211023,1,0,4,2,1,424.0,0,2,7000490,1,516,0,1,1,NODATA,Kobuk,318.2587022821102
81320700041,-157.55240001050564,66.94833714638851,-157.5810934810651,-157.52383935656312,66.91093782076805,66.97437478088594,10762.187523808414,54,27.399999618530273,233.0,0.18127846891706514,12728.9193,307514.8352756426,1,0,4,2,1,432.0,0,2,7000490,1,503,0,1,1,NODATA,Kobuk,307.51483527564255
81320700031,-157.63206669827582,66.9965946877043,-157.66128629338073,-157.5816274400813,66.9710367242574,67.01550462269756,10715.757605180375,54,25.600000381469727,251.5,0.03231132963565586,12990.8017,296752.64775183523,1,0,4,2,1,483.0,0,2,7000490,1,488,0,1,1,NODATA,Kobuk,296.75264775183524
81320700021,-157.71675969408608,67.01680569167995,-157.79155113275124,-157.6606542541583,66.99518258507226,67.02820841840183,10759.851087068697,54,24.399999618530273,235.0,0.11918934413005303,13263.3899,286036.890146648,1,0,5,2,1,593.0,0,2,7000490,1,478,0,1,1,NODATA,Kobuk,286.036890146648
81320700011,-157.7903729595317,67.06156664248665,-157.8410062617653,-157.76374302093998,67.0248373978916,67.08810037024546,12697.21856773956,63,24.100000381469727,218.0,0.21650631116877855,13573.8605,275277.0390595807,1,0,5,3,1,558.0,0,2,7000490,1,471,0,1,1,NODATA,Kobuk,275.2770390595807
81320500081,-157.93076699319207,67.06267836942743,-158.04071276181708,-157.8416966501329,67.05400770917832,67.08792711118363,10746.41345807228,54,20.700000762939453,342.0,0.09203176624042071,16607.2304,262579.82049183105,1,0,5,3,1,569.0,0,3,7000490,1,306,3,2,1,NODATA,Kobuk,262.5798204918311
81320500071,-158.15809085415145,67.06953512817933,-158.20628665379934,-158.0414026120387,67.0666016546005,67.11044390478256,12251.655347958016,61,15.600000381469727,365.0,0.38858087652177714,16744.1436,251833.40703376033,1,0,6,2,1,636.0,0,3,7000490,1,294,0,1,1,NODATA,Kobuk,251.83340703376032
81320500061,-158.3324522307218,67.1108106888802,-158.38717709576923,-158.20697599683677,67.0906804011081,67.13097636233938,15195.531952104584,76,15.600000381469727,354.0,1.5326694672757418e-16,16903.5779,239581.75168579238,1,0,6,2,1,898.0,0,3,7000490,1,282,0,1,1,NODATA,Kobuk,239.58175168579237
81320500051,-158.4439529521177,67.17071740996201,-158.5905191989485,-158.31566085092498,67.12914264673893,67.19655394236395,15088.995839878671,75,10.800000190734863,381.0,0.9480373068145839,19871.4338,224386.21973368974,1,0,4,3,1,1056.0,0,3,7000490,1,273,0,1,1,NODATA,Kobuk,224.38621973368973
81320500041,-158.7784019635772,67.17397998272313,-158.95201416106354,-158.59121282052547,67.14303326299971,67.19851765769994,18285.581526665464,92,4.300000190734863,354.0,4.228929842562519e-16,21692.0505,209297.22389381376,1,0,6,2,1,750.0,0,3,7000490,1,107,3,2,1,NODATA,Kobuk,209.29722389381377
81320500031,-159.04626273345175,67.14206273753987,-159.08838486105893,-158.952706474786,67.12440863941227,67.17122033654012,11043.30545658652,55,4.300000190734863,381.0,2.6767969783179973e-16,21692.0505,191011.64236713733,1,0,5,2,1,577.0,0,3,7000490,1,104,0,1,1,NODATA,Kobuk,191.01164236713734
81320500021,-159.22650875986693,67.1825075783347,-159.3713306091908,-159.0852752598947,67.17148936995602,67.18954230801315,13798.292449946046,69,4.300000190734863,411.0,4.47525585802928e-17,21692.0505,179968.3369105392,1,0,5,3,1,960.0,0,3,7000490,1,95,0,1,1,NODATA,Kobuk,179.9683369105392
81320500011,-159.4117784488202,67.16653109204056,-159.4553612733228,-159.37201550598962,67.15283374401307,67.18130599514222,4971.018114365095,25,4.300000190734863,438.0,9.464275501788337e-16,22949.4607,166170.04446058813,1,0,6,2,1,632.0,0,3,7000490,1,80,3,2,1,NODATA,Kobuk,166.17004446058814
81320300051,-159.56360156200296,67.14468459077175,-159.64754854771985,-159.45604855683783,67.12135810815631,67.15256267199257,11329.116650771664,57,4.300000190734863,330.5,0.18396341861852286,25518.8485,161199.02634621985,1,0,6,4,1,2101.0,0,3,7000490,1,50,3,2,1,NODATA,Kobuk,161.19902634621985
81320300041,-159.66818761818993,67.10379869607337,-159.75914690403357,-159.6277699121963,67.09540557790754,67.12579515189921,11254.331469315674,56,1.899999976158142,298.0,0.18446125830398394,25688.93,149869.90969544247,1,0,4,3,1,912.0,0,3,7000490,1,42,0,1,1,NODATA,Kobuk,149.8699096954425
81320300031,-159.83798493297087,67.0448190054881,-159.93819090480187,-159.75983104755636,66.99769977154415,67.10269637069587,15120.601741252794,76,0.0,334.5,0.0,25917.3978,138615.57822612964,1,0,5,2,1,1152.0,0,3,7000490,1,36,0,1,1,NODATA,Kobuk,138.61557822612963
81320300021,-160.05622209692217,66.98706910821528,-160.17261403762836,-159.93887670714724,66.96492297189819,66.99916991890649,11517.280134613626,58,0.0,509.0,0.0,26094.0796,123494.97648488358,1,0,5,3,1,975.0,0,3,7000490,1,30,0,1,1,NODATA,Kobuk,123.49497648488358
