river,reach_id,lat,lon,dist_out_km,facc_km2,width_m,reach_length_m,n_obs,first,last,wse_median_m,wse_range_m
Kobuk,81320100091,66.91892111704665,-160.55621633072894,94.19206613918804,31314.5319,664.5,2464.0751385811923,111,2023-08-02 16:43:05+00:00,2026-09-13 07:40:13+00:00,1.8473,3.7575
Kobuk,81320500041,67.17397998272313,-158.7784019635772,209.29722389381377,21692.0505,354.0,18285.581526665464,136,2023-05-23 03:49:47+00:00,2026-09-13 07:40:23+00:00,14.23565,6.531099999999999
Kobuk,81320700091,66.90067497965603,-156.89159139692777,375.5990315135959,11168.331,169.0,15830.01433627284,127,2023-05-25 03:31:04+00:00,2026-09-16 14:44:34+00:00,36.2269,4.025599999999997
Kobuk,81320700131,66.84186765087772,-156.2248760973039,424.2639748750495,7566.0166015625,123.0,10139.487670873139,166,2023-05-23 03:49:50+00:00,2026-09-16 14:44:37+00:00,59.18835,2.8183000000000007
Selawik,81310800041,66.56398299457105,-159.9299084011217,16.654518200540863,11148.16577580168,292.0,1105.4975038454904,93,2023-08-28 20:33:45+00:00,2026-09-13 07:40:10+00:00,0.6676,1.2827
Selawik,81310800071,66.5757113694565,-159.47789996105888,45.58893954476917,10524.655792730386,231.5,8858.662711355362,141,2023-05-18 04:36:25+00:00,2026-09-13 07:40:11+00:00,0.7434,4.5686
Selawik,81310800091,66.58805424951771,-159.2567827755704,63.36840832890194,9985.324551486614,128.0,8893.984385190579,141,2023-05-18 04:36:25+00:00,2026-09-13 07:40:12+00:00,0.9413,3.4307000000000003
Selawik,81310800101,66.54976766687807,-159.2092625425807,79.18900702692682,9728.873035686489,150.0,15820.598698028041,133,2023-05-18 04:36:25+00:00,2026-09-13 07:40:12+00:00,1.0566,3.7551
Noatak,81340100031,67.24990799097839,-162.59525911103873,55.0278770249701,59780.982,303.0,8473.51635621043,115,2023-07-29 01:26:07+00:00,2026-09-14 07:40:50+00:00,0.9428,3.4922999999999997
Noatak,81340500031,67.94640515268077,-161.70090091273266,210.776046122697,23508.534562038672,132.5,8568.740132308738,119,2023-07-29 01:26:00+00:00,2026-09-15 07:41:43+00:00,94.2075,7.019199999999998
Noatak,81340500121,67.8957307770238,-160.42415536272145,288.6643189469528,18581.21962759919,190.0,10331.701720291825,131,2023-07-28 01:25:26+00:00,2026-09-14 07:41:07+00:00,152.7037,4.199000000000012
Noatak,81340700061,67.94459438133,-158.01801404021546,480.7364780596535,7762.744396578881,127.0,17875.101491029396,118,2023-07-27 01:24:54+00:00,2026-09-16 14:44:15+00:00,307.08299999999997,3.200800000000015
